name,pa_url,source_url,org_category,org_classification,popit_id
NCOP Appropriations,http://www.pa.org.za/organisation/ncop-appropriations/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/198,political,Ncop Committees,za.org.pa.www/core_organisation/198
NCOP Co-operative Governance and Traditional Affairs,http://www.pa.org.za/organisation/ncop-co-operative-governance-and-traditional-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/199,political,Ncop Committees,za.org.pa.www/core_organisation/199
NCOP Economic Development,http://www.pa.org.za/organisation/ncop-economic-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/200,political,Ncop Committees,za.org.pa.www/core_organisation/200
NCOP Education and Recreation,http://www.pa.org.za/organisation/ncop-education-and-recreation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/201,political,Ncop Committees,za.org.pa.www/core_organisation/201
NCOP Finance,http://www.pa.org.za/organisation/ncop-finance/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/202,political,Ncop Committees,za.org.pa.www/core_organisation/202
NCOP Labour and Public Enterprises,http://www.pa.org.za/organisation/ncop-labour-and-public-enterprises/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/203,political,Ncop Committees,za.org.pa.www/core_organisation/203
NCOP Land and Environmental Affairs,http://www.pa.org.za/organisation/ncop-land-and-environmental-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/204,political,Ncop Committees,za.org.pa.www/core_organisation/204
NCOP Petitions and Private Members Legislative Proposals,http://www.pa.org.za/organisation/ncop-petitions-and-private-members-legislative-proposals/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/205,political,Ncop Committees,za.org.pa.www/core_organisation/205
NCOP Public Services,http://www.pa.org.za/organisation/ncop-public-services/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/206,political,Ncop Committees,za.org.pa.www/core_organisation/206
NCOP Rules of the National Council of Provinces,http://www.pa.org.za/organisation/ncop-rules-of-the-national-council-of-provinces/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/207,,Ncop Committees,za.org.pa.www/core_organisation/207
NCOP Security and Constitutional Development,http://www.pa.org.za/organisation/ncop-security-and-constitutional-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/208,political,Ncop Committees,za.org.pa.www/core_organisation/208
NCOP Social Services,http://www.pa.org.za/organisation/ncop-social-services/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/209,political,Ncop Committees,za.org.pa.www/core_organisation/209
