SourceName,Role,TargetName
DELOITTE & TOUCHE,Audit Firm,BLUE FINANCIAL SERVICES LIMITED
GRINDROD BANK LIMITED,Designated Advisor,BLUE FINANCIAL SERVICES LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BLUE FINANCIAL SERVICES LIMITED
Transfer Secretaries,Transfer Secretary,BMW FINANCIAL SERVICES SA (PTY) LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,BLUE LABEL TELECOMS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,BLUE LABEL TELECOMS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BLUE LABEL TELECOMS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BNP PARIBAS ARBITRAGE ISSUANCE B.V.
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BNP PARIBAS ARBITRAGE ISSUANCE BV
Transfer Secretaries,Transfer Secretary,BOPHUTHATSWANA ADMIN BOARD
NOLANDS INC,Audit Firm,BONATLA PROPERTY HOLDINGS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,BONATLA PROPERTY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BONATLA PROPERTY HOLDINGS LIMITED
Mazars Inc.,Audit Firm,BOWLER METCALF LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,BOWLER METCALF LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BOWLER METCALF LIMITED
DELOITTE & TOUCHE,Audit Firm,BRAIT SE
Transfer Secretaries,Transfer Secretary,BRANDCORP (PROPRIETARY) LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BRIAN PORTER HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,BRIKOR LIMITED
Exchange Sponsors (2008)(Pty) Ltd,Designated Advisor,BRIKOR LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BRIKOR LIMITED
DELOITTE & TOUCHE,Audit Firm,BRIMSTONE INVESTMENT CORPORATION LD
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,BRIMSTONE INVESTMENT CORPORATION LD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BRIMSTONE INVESTMENT CORPORATION LD
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,BRITISH AMERICAN TOBACCO PLC
